city,danger_level
Барнаул,1.4864276382638988e-07
Барнаул,1.6722310930468864e-07
с Лебяжье,9.290172739149368e-09
Барнаул,9.290172739149369e-08
Барнаул,3.716069095659747e-08
Барнаул,1.9509362752213674e-07
Барнаул,1.8580345478298736e-08
Барнаул,3.716069095659747e-08
Барнаул,6.503120917404559e-08
Барнаул,9.290172739149368e-09
Барнаул,7.432138191319494e-08
Барнаул,1.0219190013064305e-07
Барнаул,5.5741036434896217e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298738e-07
Барнаул,8.361155465234432e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,3.716069095659747e-08
Барнаул,1.0219190013064305e-07
Барнаул,1.8580345478298736e-08
с Власиха,5.5741036434896217e-08
Барнаул,9.290172739149368e-09
Барнаул,9.290172739149368e-09
Барнаул,1.3935259108724054e-07
Барнаул,1.3006241834809118e-07
Барнаул,9.290172739149368e-09
Барнаул,1.3935259108724054e-07
Барнаул,1.6722310930468864e-07
Барнаул,7.432138191319494e-08
Барнаул,9.290172739149369e-08
Барнаул,9.290172739149368e-09
Барнаул,9.290172739149368e-09
рп Южный,1.4864276382638988e-07
Барнаул,1.6722310930468864e-07
Барнаул,2.7870518217448105e-08
Барнаул,5.5741036434896217e-08
с Власиха,9.290172739149368e-09
п Бельмесево,9.290172739149368e-09
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
п Пригородный,9.290172739149368e-09
Барнаул,1.1148207286979243e-07
Барнаул,5.5741036434896217e-08
Барнаул,2.9728552765277977e-07
Барнаул,1.8580345478298736e-08
Барнаул,9.290172739149369e-08
Барнаул,1.3006241834809118e-07
Барнаул,9.290172739149369e-08
Барнаул,7.432138191319494e-08
Барнаул,5.5741036434896217e-08
Барнаул,2.7870518217448105e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,3.716069095659747e-08
с Лебяжье,1.8580345478298736e-08
Барнаул,9.290172739149368e-09
Барнаул,1.8580345478298738e-07
Барнаул,2.7870518217448105e-08
Барнаул,3.716069095659747e-08
Барнаул,1.8580345478298736e-08
Барнаул,3.716069095659747e-08
п Пригородный,3.716069095659747e-08
Барнаул,2.7870518217448105e-08
с Власиха,2.7870518217448105e-08
Барнаул,2.7870518217448105e-08
Барнаул,1.6722310930468864e-07
Барнаул,3.716069095659747e-08
Барнаул,1.8580345478298736e-08
Барнаул,9.290172739149368e-09
Барнаул,1.8580345478298736e-08
Барнаул,2.136739730004355e-07
Барнаул,9.290172739149369e-08
Барнаул,9.290172739149369e-08
Барнаул,5.5741036434896217e-08
Барнаул,2.787051821744811e-07
Барнаул,1.8580345478298736e-08
Барнаул,1.9509362752213674e-07
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,9.290172739149368e-09
рп Южный,9.290172739149368e-09
Барнаул,9.290172739149368e-09
Барнаул,3.716069095659747e-08
с Власиха,9.290172739149368e-09
Барнаул,5.5741036434896217e-08
Барнаул,1.3006241834809118e-07
Барнаул,2.7870518217448105e-08
Барнаул,2.7870518217448105e-08
Барнаул,5.5741036434896217e-08
Барнаул,1.6722310930468864e-07
Барнаул,2.9728552765277977e-07
Барнаул,1.4864276382638988e-07
Барнаул,2.043838002612861e-07
Барнаул,2.7870518217448105e-08
Барнаул,9.290172739149368e-09
Барнаул,1.8580345478298736e-08
Барнаул,2.7870518217448105e-08
Барнаул,9.290172739149368e-09
Барнаул,2.7870518217448105e-08
Барнаул,1.8580345478298736e-08
Барнаул,6.503120917404559e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,2.7870518217448105e-08
Барнаул,3.716069095659747e-08
Барнаул,6.503120917404559e-08
Барнаул,1.8580345478298736e-08
Барнаул,8.361155465234432e-08
Барнаул,9.290172739149368e-09
Барнаул,4.645086369574685e-08
Барнаул,9.290172739149369e-08
Барнаул,9.290172739149368e-09
Барнаул,9.290172739149369e-08
Барнаул,6.503120917404559e-08
Барнаул,3.716069095659747e-08
Барнаул,9.290172739149368e-09
Барнаул,5.5741036434896217e-08
Барнаул,8.361155465234432e-08
Барнаул,1.8580345478298736e-08
Барнаул,9.290172739149368e-09
Барнаул,1.8580345478298736e-08
Барнаул,7.432138191319494e-08
Барнаул,9.290172739149369e-08
Барнаул,2.043838002612861e-07
Барнаул,7.432138191319494e-08
с Лебяжье,1.8580345478298736e-08
Барнаул,3.716069095659747e-08
п Пригородный,1.8580345478298736e-08
Барнаул,5.5741036434896217e-08
Барнаул,9.290172739149369e-08
Барнаул,1.3935259108724054e-07
Барнаул,9.290172739149368e-09
Барнаул,9.290172739149368e-09
Барнаул,2.2296414573958487e-07
Барнаул,1.0219190013064305e-07
Барнаул,1.3006241834809118e-07
Барнаул,9.290172739149368e-09
Барнаул,1.4864276382638988e-07
Барнаул,3.716069095659747e-08
Барнаул,1.8580345478298736e-08
Барнаул,1.8580345478298736e-08
Барнаул,2.136739730004355e-07
